Iteracion,Weights
1,"[1.0, 0.5401, -0.8608]"
2,"[1.0, 0.5401, -0.8608]"
3,"[1.0, 0.5401, -0.8608]"
4,"[1.0, 0.5401, -0.8608]"
5,"[1.0, 0.5401, -0.8608]"
6,"[1.0, 0.5401, -0.8608]"
7,"[1.0, 0.5401, -0.8608]"
8,"[1.0, 0.5401, -0.8608]"
9,"[1.0, 0.5401, -0.8608]"
10,"[1.0, 0.5401, -0.8608]"
11,"[1.0, 0.5401, -0.8608]"
12,"[1.0, 0.5401, -0.8608]"
13,"[1.0, 0.5401, -0.8608]"
14,"[1.0, 0.5401, -0.8608]"
15,"[1.0, 0.5401, -0.8608]"
16,"[1.0, 0.5401, -0.8608]"
17,"[1.0, 0.5401, -0.8608]"
18,"[1.0, 0.5401, -0.8608]"
19,"[1.0, 0.5401, -0.8608]"
20,"[1.0, 0.5401, -0.8608]"
21,"[1.0, 0.5401, -0.8608]"
22,"[1.0, 0.5401, -0.8608]"
23,"[1.0, 0.5401, -0.8608]"
24,"[1.0, 0.5401, -0.8608]"
25,"[1.0, 0.5401, -0.8608]"
26,"[1.0, 0.5401, -0.8608]"
27,"[1.0, 0.5401, -0.8608]"
28,"[1.0, 0.5401, -0.8608]"
29,"[1.0, 0.5401, -0.8608]"
30,"[1.0, 0.5401, -0.8608]"
31,"[1.0, 0.5401, -0.8608]"
32,"[1.0, 0.5401, -0.8608]"
33,"[1.0, 0.5401, -0.8608]"
34,"[1.0, 0.5401, -0.8608]"
35,"[1.0, 0.5401, -0.8608]"
36,"[1.0, 0.5401, -0.8608]"
37,"[1.0, 0.5401, -0.8608]"
38,"[1.0, 0.5401, -0.8608]"
39,"[1.0, 0.5401, -0.8608]"
40,"[1.0, 0.5401, -0.8608]"
41,"[1.0, 0.5401, -0.8608]"
42,"[1.0, 0.5401, -0.8608]"
43,"[1.0, 0.5401, -0.8608]"
44,"[1.0, 0.5401, -0.8608]"
45,"[1.0, 0.5401, -0.8608]"
46,"[1.0, 0.5401, -0.8608]"
47,"[1.0, 0.5401, -0.8608]"
48,"[1.0, 0.5401, -0.8608]"
49,"[1.0, 0.5401, -0.8608]"
50,"[1.0, 0.5401, -0.8608]"
51,"[1.0, 0.5401, -0.8608]"
52,"[1.0, 0.5401, -0.8608]"
53,"[1.0, 0.5401, -0.8608]"
54,"[1.0, 0.5401, -0.8608]"
55,"[1.0, 0.5401, -0.8608]"
56,"[1.0, 0.5401, -0.8608]"
57,"[1.0, 0.5401, -0.8608]"
58,"[1.0, 0.5401, -0.8608]"
59,"[1.0, 0.5401, -0.8608]"
60,"[1.0, 0.5401, -0.8608]"
61,"[1.0, 0.5401, -0.8608]"
62,"[1.0, 0.5401, -0.8608]"
63,"[1.0, 0.5401, -0.8608]"
64,"[1.0, 0.5401, -0.8608]"
65,"[1.0, 0.5401, -0.8608]"
66,"[1.0, 0.5401, -0.8608]"
67,"[1.0, 0.5401, -0.8608]"
68,"[1.0, 0.5401, -0.8608]"
69,"[1.0, 0.5401, -0.8608]"
70,"[1.0, 0.5401, -0.8608]"
71,"[1.0, 0.5401, -0.8608]"
72,"[1.0, 0.5401, -0.8608]"
73,"[1.0, 0.5401, -0.8608]"
74,"[1.0, 0.5401, -0.8608]"
75,"[1.0, 0.5401, -0.8608]"
76,"[1.0, 0.5401, -0.8608]"
77,"[1.0, 0.5401, -0.8608]"
