Iteracion,Weights
1,"[-0.9309, 0.8772, 0.5447]"
2,"[-0.1188, -0.2823, 0.751]"
3,"[0.6025, 0.454, -0.9795]"
4,"[0.1373, 0.6107, 0.4576]"
5,"[-0.1551, 0.7185, -0.6924]"
6,"[0.0428, 0.1736, -0.6267]"
7,"[0.4642, -0.1339, 0.51]"
8,"[0.243, -0.2147, -0.8364]"
9,"[0.1485, -0.7621, 0.4803]"
10,"[-0.6164, -0.0498, 0.3774]"
11,"[-0.3461, 0.6756, 0.0728]"
12,"[-0.7789, -0.473, -0.1106]"
13,"[-0.0596, -0.2622, 0.8964]"
14,"[0.4122, -0.9184, 0.9968]"
15,"[-0.2342, 0.5797, -0.2655]"
16,"[-0.8651, -0.8692, -0.0251]"
17,"[0.932, 0.412, 0.6111]"
18,"[-0.2705, -0.3938, 0.8061]"
19,"[0.0992, 0.3793, 0.2045]"
20,"[-0.6619, -0.3974, -0.6165]"
21,"[-0.553, 0.2145, -0.9038]"
22,"[-0.6595, -0.6745, -0.7522]"
23,"[0.4583, 0.433, 0.3642]"
24,"[0.484, -0.8311, -0.9686]"
25,"[0.919, 0.0398, 0.7204]"
26,"[-0.7954, 0.318, -0.2393]"
27,"[0.4322, -0.2291, -0.4563]"
28,"[-0.8932, -0.6807, -0.6827]"
29,"[-0.1562, 0.2659, -0.4245]"
30,"[-0.2382, 0.6104, -0.6468]"
31,"[0.2344, -0.2449, -0.2138]"
32,"[-0.1752, 0.7341, 0.7839]"
33,"[0.2717, -0.7456, 0.7603]"
34,"[-0.4965, 0.6435, 0.4586]"
35,"[-0.3783, -0.5366, 0.4058]"
36,"[0.9165, 0.1732, -0.0522]"
37,"[-0.8103, -0.1128, 0.9327]"
38,"[-0.0451, -0.7954, -0.7029]"
39,"[0.36, 0.5504, 0.6969]"
40,"[0.1318, -0.562, -0.2753]"
41,"[0.4359, -0.9842, -0.5635]"
42,"[-0.5811, -0.7524, -0.0015]"
43,"[-0.175, 0.1908, 0.092]"
44,"[0.7556, 0.2156, -0.7336]"
45,"[0.6004, 0.4932, 0.3514]"
46,"[0.184, 0.9497, 0.6864]"
47,"[0.2611, -0.4688, -0.825]"
48,"[0.6745, 0.3757, 0.7835]"
49,"[0.9073, 0.4975, 0.2968]"
50,"[-0.2464, -0.128, 0.2572]"
51,"[-0.2252, 0.8163, 0.2834]"
52,"[0.7727, -0.1941, -0.5851]"
53,"[0.1447, -0.3476, 0.3129]"
54,"[0.2369, -0.3132, -0.5734]"
55,"[-0.01, 0.9794, -0.4882]"
56,"[0.2929, -0.8184, 0.718]"
57,"[0.3524, 0.4269, 0.6528]"
58,"[-0.9875, -0.5586, -0.6904]"
59,"[0.0866, -0.1921, -0.2666]"
60,"[-0.2342, -0.9221, 0.9682]"
