Iteracion,Weights
1,"[1.0, 0.0725, -0.2835]"
2,"[1.0, 0.7129, -0.7498]"
3,"[1.0, -0.2121, -0.02]"
4,"[1.0, 0.9612, 0.2994]"
5,"[1.0, -0.7142, 0.3387]"
6,"[1.0, 0.9727, -0.187]"
7,"[1.0, 0.1769, -0.4362]"
8,"[1.0, 0.3973, -0.6281]"
9,"[1.0, 0.0602, -0.6594]"
10,"[1.0, -0.826, -0.6379]"
11,"[1.0, -0.3498, -0.0324]"
12,"[1.0, -0.2089, 0.6246]"
13,"[1.0, 0.1532, 0.4685]"
14,"[1.0, 0.743, 0.4778]"
15,"[1.0, -0.4024, -0.7602]"
16,"[1.0, 0.2597, -0.0524]"
17,"[1.0, -0.2872, 0.3515]"
18,"[1.0, 0.3548, 0.5302]"
19,"[1.0, 0.9266, 0.0924]"
20,"[1.0, 0.3609, 0.1582]"
21,"[1.0, 0.2246, 0.9047]"
22,"[1.0, -0.5493, -0.4164]"
23,"[1.0, -0.6303, -0.8309]"
24,"[1.0, 0.5978, -0.4638]"
25,"[1.0, 0.218, 0.2937]"
26,"[1.0, -0.7283, -0.352]"
27,"[1.0, 0.5474, 0.6266]"
28,"[1.0, 0.0869, 0.587]"
29,"[1.0, -0.8872, 0.9932]"
30,"[1.0, -0.4375, 0.3681]"
