Iteracion,Weights
1,"[-0.7929, 0.6837, 0.6563]"
2,"[0.2942, -0.75, -0.1502]"
3,"[0.236, -0.7847, -0.7955]"
4,"[0.0312, 0.494, 0.263]"
5,"[-0.4248, -0.7588, 0.5073]"
6,"[0.3488, 0.7925, 0.1922]"
7,"[0.9757, 0.7063, -0.5007]"
8,"[-0.2846, 0.9908, -0.0232]"
9,"[-0.6371, -0.1933, 0.6764]"
10,"[-0.6638, 0.2265, -0.0922]"
11,"[0.6653, -0.1908, -0.0853]"
12,"[-0.1302, 0.5296, 0.3252]"
13,"[-0.2885, -0.0717, -0.7449]"
14,"[0.2852, -0.3397, -0.3532]"
15,"[0.9448, -0.9906, 0.7058]"
16,"[0.6035, -0.6413, 0.9564]"
17,"[-0.0713, 0.3694, 0.0645]"
18,"[0.5728, -0.7951, -0.8551]"
19,"[-0.7995, -0.0153, 0.7114]"
20,"[-0.754, 0.5078, -0.8235]"
21,"[0.2743, -0.3825, 0.4001]"
22,"[-0.4177, -0.1088, -0.9017]"
23,"[0.5768, 0.8829, 0.8915]"
24,"[0.359, -0.4884, -0.1164]"
25,"[-0.7959, 0.0131, -0.7351]"
26,"[0.0015, 0.9302, -0.4035]"
27,"[-0.5737, 0.3227, -0.8662]"
28,"[0.4949, -0.6309, 0.8422]"
29,"[0.1721, -0.0655, 0.1149]"
30,"[-0.4437, 0.137, 0.7045]"
31,"[0.5424, -0.03, 0.5625]"
32,"[0.6034, 0.2466, -0.2038]"
33,"[-0.4847, -0.1119, -0.8808]"
34,"[-0.776, -0.657, -0.3771]"
35,"[-0.9954, -0.2329, 0.2673]"
36,"[0.1215, 0.0634, -0.1156]"
37,"[0.8798, -0.1404, -0.0002]"
38,"[0.0123, 0.8246, 0.1637]"
39,"[0.267, 0.1958, 0.785]"
40,"[-0.3083, -0.1004, -0.5033]"
41,"[-0.5663, -0.9154, -0.4261]"
42,"[0.6005, 0.2214, 0.0555]"
43,"[0.0067, 0.8344, 0.506]"
44,"[-0.9247, 0.384, 0.0249]"
45,"[-0.3663, -0.4904, -0.7274]"
46,"[-0.2147, 0.3366, -0.9335]"
47,"[0.1514, -0.4553, -0.05]"
48,"[0.4947, 0.4511, -0.278]"
49,"[-0.8297, 0.0304, 0.58]"
50,"[-0.9116, 0.5241, -0.1601]"
51,"[0.7834, -0.9624, -0.2825]"
52,"[0.4879, 0.5813, 0.3179]"
53,"[-0.1492, 0.1403, -0.7547]"
54,"[-0.6193, 0.772, 0.858]"
55,"[-0.7012, -0.4226, 0.908]"
56,"[-0.309, -0.9677, -0.805]"
57,"[0.0162, 0.6026, -0.3697]"
58,"[-0.0561, -0.4803, -0.339]"
59,"[-0.8776, -0.9685, 0.2448]"
60,"[-0.586, 0.713, -0.6333]"
61,"[0.1055, -0.3887, 0.4129]"
62,"[0.3585, 0.4915, 0.8611]"
63,"[-0.5086, 0.0928, -0.6643]"
64,"[-0.456, -0.9687, 0.2403]"
65,"[0.3808, -0.0922, 0.9374]"
66,"[-0.9558, -0.7611, -0.361]"
67,"[0.3407, -0.0537, -0.1813]"
68,"[-0.537, 0.1987, 0.4121]"
69,"[0.3766, -0.1202, -0.5146]"
70,"[-0.9717, 0.101, -0.2908]"
71,"[-0.2883, 0.8738, -0.2405]"
72,"[0.5481, -0.3641, -0.4991]"
73,"[0.8521, -0.7535, -0.2895]"
74,"[0.8816, 0.0701, 0.1855]"
75,"[-0.482, 0.2237, 0.1798]"
