Iteracion,Weights
1,"[-0.1477, 0.3064, 0.1822]"
2,"[-0.3477, 0.2064, 0.0822]"
3,"[-0.1477, 0.4064, 0.2822]"
4,"[-0.3477, 0.3064, 0.1822]"
5,"[-0.3477, 0.3064, 0.1822]"
6,"[-0.3477, 0.3064, 0.1822]"
7,"[-0.3477, 0.3064, 0.1822]"
8,"[-0.3477, 0.3064, 0.1822]"
9,"[-0.3477, 0.3064, 0.1822]"
10,"[-0.3477, 0.3064, 0.1822]"
11,"[-0.3477, 0.3064, 0.1822]"
12,"[-0.3477, 0.3064, 0.1822]"
13,"[-0.3477, 0.3064, 0.1822]"
14,"[-0.3477, 0.3064, 0.1822]"
15,"[-0.3477, 0.3064, 0.1822]"
16,"[-0.3477, 0.3064, 0.1822]"
17,"[-0.3477, 0.3064, 0.1822]"
18,"[-0.3477, 0.3064, 0.1822]"
19,"[-0.3477, 0.3064, 0.1822]"
20,"[-0.3477, 0.3064, 0.1822]"
21,"[-0.3477, 0.3064, 0.1822]"
22,"[-0.3477, 0.3064, 0.1822]"
23,"[-0.3477, 0.3064, 0.1822]"
24,"[-0.3477, 0.3064, 0.1822]"
25,"[-0.3477, 0.3064, 0.1822]"
26,"[-0.3477, 0.3064, 0.1822]"
27,"[-0.3477, 0.3064, 0.1822]"
28,"[-0.3477, 0.3064, 0.1822]"
29,"[-0.3477, 0.3064, 0.1822]"
30,"[-0.3477, 0.3064, 0.1822]"
31,"[-0.3477, 0.3064, 0.1822]"
32,"[-0.3477, 0.3064, 0.1822]"
33,"[-0.3477, 0.3064, 0.1822]"
34,"[-0.3477, 0.3064, 0.1822]"
35,"[-0.3477, 0.3064, 0.1822]"
36,"[-0.3477, 0.3064, 0.1822]"
37,"[-0.3477, 0.3064, 0.1822]"
38,"[-0.3477, 0.3064, 0.1822]"
39,"[-0.3477, 0.3064, 0.1822]"
40,"[-0.3477, 0.3064, 0.1822]"
41,"[-0.3477, 0.3064, 0.1822]"
42,"[-0.3477, 0.3064, 0.1822]"
43,"[-0.3477, 0.3064, 0.1822]"
44,"[-0.3477, 0.3064, 0.1822]"
45,"[-0.3477, 0.3064, 0.1822]"
46,"[-0.3477, 0.3064, 0.1822]"
47,"[-0.3477, 0.3064, 0.1822]"
48,"[-0.3477, 0.3064, 0.1822]"
49,"[-0.3477, 0.3064, 0.1822]"
50,"[-0.3477, 0.3064, 0.1822]"
51,"[-0.3477, 0.3064, 0.1822]"
52,"[-0.3477, 0.3064, 0.1822]"
53,"[-0.3477, 0.3064, 0.1822]"
54,"[-0.3477, 0.3064, 0.1822]"
55,"[-0.3477, 0.3064, 0.1822]"
56,"[-0.3477, 0.3064, 0.1822]"
57,"[-0.3477, 0.3064, 0.1822]"
58,"[-0.3477, 0.3064, 0.1822]"
59,"[-0.3477, 0.3064, 0.1822]"
60,"[-0.3477, 0.3064, 0.1822]"
61,"[-0.3477, 0.3064, 0.1822]"
62,"[-0.3477, 0.3064, 0.1822]"
63,"[-0.3477, 0.3064, 0.1822]"
64,"[-0.3477, 0.3064, 0.1822]"
65,"[-0.3477, 0.3064, 0.1822]"
66,"[-0.3477, 0.3064, 0.1822]"
67,"[-0.3477, 0.3064, 0.1822]"
68,"[-0.3477, 0.3064, 0.1822]"
69,"[-0.3477, 0.3064, 0.1822]"
70,"[-0.3477, 0.3064, 0.1822]"
71,"[-0.3477, 0.3064, 0.1822]"
72,"[-0.3477, 0.3064, 0.1822]"
73,"[-0.3477, 0.3064, 0.1822]"
74,"[-0.3477, 0.3064, 0.1822]"
75,"[-0.3477, 0.3064, 0.1822]"
76,"[-0.3477, 0.3064, 0.1822]"
77,"[-0.3477, 0.3064, 0.1822]"
78,"[-0.3477, 0.3064, 0.1822]"
79,"[-0.3477, 0.3064, 0.1822]"
80,"[-0.3477, 0.3064, 0.1822]"
81,"[-0.3477, 0.3064, 0.1822]"
82,"[-0.3477, 0.3064, 0.1822]"
83,"[-0.3477, 0.3064, 0.1822]"
84,"[-0.3477, 0.3064, 0.1822]"
85,"[-0.3477, 0.3064, 0.1822]"
86,"[-0.3477, 0.3064, 0.1822]"
87,"[-0.3477, 0.3064, 0.1822]"
88,"[-0.3477, 0.3064, 0.1822]"
89,"[-0.3477, 0.3064, 0.1822]"
90,"[-0.3477, 0.3064, 0.1822]"
91,"[-0.3477, 0.3064, 0.1822]"
92,"[-0.3477, 0.3064, 0.1822]"
93,"[-0.3477, 0.3064, 0.1822]"
94,"[-0.3477, 0.3064, 0.1822]"
95,"[-0.3477, 0.3064, 0.1822]"
96,"[-0.3477, 0.3064, 0.1822]"
97,"[-0.3477, 0.3064, 0.1822]"
98,"[-0.3477, 0.3064, 0.1822]"
99,"[-0.3477, 0.3064, 0.1822]"
100,"[-0.3477, 0.3064, 0.1822]"
