Iteracion,Weights
1,"[-0.3572, 0.8161, 0.2561]"
2,"[0.6505, 0.7069, 0.7847]"
3,"[-0.9681, 0.3915, -0.6318]"
4,"[0.0276, 0.0033, -0.1651]"
5,"[-0.3801, -0.4101, -0.2112]"
6,"[-0.1762, -0.5815, 0.0548]"
7,"[-0.7729, 0.4476, 0.7875]"
8,"[0.3253, 0.8877, -0.4188]"
9,"[-0.1026, -0.5113, 0.7887]"
10,"[-0.3321, 0.6214, -0.7061]"
11,"[0.5976, -0.1137, -0.7703]"
12,"[0.1615, -0.7162, -0.3198]"
13,"[-0.5584, 0.3938, 0.9338]"
14,"[0.6708, 0.8919, -0.707]"
15,"[0.6719, -0.6852, 0.3555]"
16,"[0.8667, -0.6845, 0.2597]"
17,"[0.3453, 0.5516, 0.6626]"
18,"[-0.3982, 0.0601, -0.7599]"
19,"[0.4426, 0.3166, 0.7289]"
20,"[0.7488, 0.1306, -0.8328]"
21,"[0.6364, 0.3326, 0.6509]"
22,"[-0.7608, 0.6075, 0.2766]"
23,"[-0.7285, 0.4106, -0.8979]"
24,"[0.108, -0.5457, 0.4674]"
25,"[-0.5509, 0.5676, -0.209]"
26,"[0.1046, -0.5468, -0.6434]"
27,"[-0.5713, 0.449, 0.3547]"
28,"[0.6361, -0.0987, 0.2454]"
29,"[0.6599, -0.8213, 0.2549]"
30,"[0.7504, 0.1702, -0.3445]"
31,"[0.5117, 0.8992, -0.4106]"
32,"[-0.2877, 0.9267, -0.6549]"
33,"[-0.5045, 0.625, -0.5602]"
34,"[0.4456, 0.1734, -0.3451]"
35,"[-0.779, -0.4472, 0.6475]"
36,"[0.6778, 0.6179, 0.2735]"
37,"[-0.1111, -0.839, -0.4667]"
38,"[0.7053, -0.1722, 0.9184]"
39,"[0.671, -1.0, -0.2245]"
40,"[0.2547, 0.5248, 0.364]"
41,"[-0.6194, -0.9784, 0.0618]"
42,"[0.6399, 0.36, 0.9779]"
43,"[-0.7148, -0.1231, 0.47]"
44,"[0.5834, -0.3689, -0.6123]"
45,"[-0.0707, 0.5114, 0.3485]"
46,"[-0.4572, -0.6133, 0.2843]"
47,"[-0.2224, 0.6932, 0.3353]"
48,"[0.2823, 0.4312, 0.997]"
49,"[0.9654, -0.712, -0.5557]"
50,"[-0.5032, 0.0376, -0.5594]"
